Dates	XOM	XOM_Position	INTC	INTC_Position
10/5/2015	76.81	156	31.21	200
10/2/2015	75.88	156	30.51	200
10/1/2015	74.06	156	30	200
9/30/2015	74.35	156	30.14	200
9/29/2015	72.97	156	29.24	200
9/28/2015	72.6	156	28.76	200
9/25/2015	73.23	156	28.81	200
9/24/2015	72.73	156	28.48	200
9/23/2015	72.3	156	28.74	200
9/22/2015	72.74	156	28.67	200
9/21/2015	73.39	156	29.16	200
9/18/2015	72.68	156	29.02	200
9/17/2015	74.46	156	29.71	200
9/16/2015	74.3	156	29.77	200
9/15/2015	72.86	156	29.73	200
9/14/2015	72.49	156	29.39	200
9/11/2015	72.69	156	29.47	200
9/10/2015	72.52	156	29.27	200
9/9/2015	72	156	29.24	200
9/8/2015	73.5	156	29.5	200
9/4/2015	72.46	156	28.52	200
9/3/2015	73.79	156	29.08	200
9/2/2015	73.23	156	28.6	200
9/1/2015	72.08	156	27.82	200
8/31/2015	75.24	156	28.54	200
8/28/2015	75.07	156	28.42	200
8/27/2015	74.85	156	27.72	200
8/26/2015	72.5	156	27.3	200
8/25/2015	68.71	156	25.87	200
8/24/2015	68.72	156	26.25	200
8/21/2015	72.13	156	26.56	200
8/20/2015	74.57	156	27.53	200
8/19/2015	76.23	156	28.36	200
8/18/2015	77.9	156	28.91	200
8/17/2015	78.77	156	29.08	200
8/14/2015	78.36	156	29.02	200
8/13/2015	78.65	156	28.87	200
8/12/2015	78.79	156	29.46	200
8/11/2015	77.49	156	28.97	200
8/10/2015	78.75	156	29.64	200
8/7/2015	76.83	156	28.88	200
8/6/2015	78.09	156	29.01	200
8/5/2015	77.17	156	29.12	200
8/4/2015	77.17	156	29.13	200
8/3/2015	78.06	156	29.05	200
7/31/2015	79.21	156	28.95	200
7/30/2015	83.01	156	28.91	200
7/29/2015	83.14	156	29.01	200
7/28/2015	82.48	156	28.96	200
7/27/2015	79.26	156	28.35	200
7/24/2015	79.94	156	28.06	200
7/23/2015	81.14	156	28.595	200
7/22/2015	81.79	156	28.605	200
7/21/2015	81.66	156	28.72	200
7/20/2015	81.76	156	29.1	200
7/17/2015	82.61	156	29.47	200
7/16/2015	82.91	156	29.9	200
7/15/2015	82.76	156	29.69	200
7/14/2015	83.11	156	29.65	200
7/13/2015	82.42	156	29.73	200
7/10/2015	82.22	156	29.17	200
7/9/2015	81.6	156	28.93	200
7/8/2015	81.97	156	29.5	200
7/7/2015	82.87	156	29.9	200
7/6/2015	82.53	156	30.04	200
7/2/2015	83.14	156	30.555	200
7/1/2015	82.37	156	30.18	200
6/30/2015	83.2	156	30.415	200
6/29/2015	82.82	156	30.39	200
6/26/2015	83.86	156	31.02	200
6/25/2015	83.93	156	31.99	200
6/24/2015	84.68	156	31.91	200
6/23/2015	85.07	156	32.085	200
6/22/2015	85.17	156	32.26	200
6/19/2015	85.21	156	32.07	200
6/18/2015	85.48	156	32.38	200
6/17/2015	84.73	156	31.95	200
6/16/2015	84.68	156	31.635	200
6/15/2015	83.72	156	31.39	200
6/12/2015	84.02	156	31.32	200
6/11/2015	85.09	156	31.85	200
6/10/2015	85.21	156	31.82	200
6/9/2015	84.58	156	31.25	200
6/8/2015	84.85	156	31.3	200
6/5/2015	84.28	156	31.84	200
6/4/2015	84.22	156	32.31	200
6/3/2015	84.95	156	32.73	200
6/2/2015	85.14	156	33.27	200
6/1/2015	85.13	156	33.905	200
5/29/2015	85.2	156	34.46	200
5/28/2015	85.11	156	34.01	200
5/27/2015	85.11	156	33.71	200
5/26/2015	85.35	156	33.105	200
5/22/2015	86.52	156	33.45	200
5/21/2015	87.21	156	33.55	200
5/20/2015	87.13	156	33.37	200
5/19/2015	86.99	156	33.15	200
5/18/2015	86.85	156	33.41	200
5/15/2015	87.35	156	32.99	200
5/14/2015	86.97	156	32.97	200
5/13/2015	86.56	156	32.64	200
5/12/2015	87.02	156	32.25	200
5/11/2015	86.78	156	32.69	200
5/8/2015	88.99	156	32.8	200
5/7/2015	87.6	156	32.245	200
5/6/2015	88.19	156	32.22	200
5/5/2015	88.61	156	32.64	200
5/4/2015	89.11	156	33.43	200
5/1/2015	88.85	156	33.42	200
4/30/2015	87.37	156	32.55	200
4/29/2015	87.87	156	32.885	200
4/28/2015	87.8	156	33.02	200
4/27/2015	87.01	156	32.5	200
4/24/2015	86.97	156	32.08	200
4/23/2015	87.54	156	32.35	200
